,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active,Serious/Critical,Cases/million,Deaths/million,Total Tests,Tests/million
Isle of Man,"5,658",,33 ,,"4,821",,804,1,"66,151",386,"83,753","979,212"
Liberia,"5,459",,148 ,,"2,715",,"2,596",2,"1,052",29,"128,246","24,716"
Mauritius,"5,219",,21 ,,"1,854",,"3,344",,"4,096",16,"358,675","281,511"
San Marino,"5,194",,90 ,,"5,029",,75,,"152,720","2,646","72,683","2,137,107"
Gibraltar,"5,171",+14,95 ,,"4,871",+71,205,8,"153,533","2,821","321,023","9,531,562"
Chad,"4,981",,174 ,,"4,798",,9,,294,10,"134,565","7,941"
Guinea-Bissau,"4,864",,80 ,,"4,228",,556,4,"2,409",40,"84,173","41,684"
Barbados,"4,485",,48 ,,"4,326",,111,,"15,586",167,"231,927","805,960"
Comoros,"4,031",,147 ,,"3,875",,9,,"4,529",165,,
Liechtenstein,"3,119",+12,59 ,,"3,025",,35,2,"81,545","1,543","49,126","1,284,373"
Sint Maarten,"3,045",+44,38 ,+1,"2,751",+45,256,2,"70,139",875,"37,841","871,631"
Monaco,"3,021",,33 ,,"2,858",,130,6,"76,384",834,"54,960","1,389,633"
New Zealand,"2,904",+2,26 ,,"2,841",+2,37,,581,5,"2,535,316","506,850"
Saint Martin,"2,713",,39 ,,"1,399",,"1,275",7,"68,868",990,"46,787","1,187,668"
Bermuda,"2,645",,33 ,,"2,529",,83,,"42,645",532,"411,292","6,631,282"
Bhutan,"2,551",+1,2 ,,"2,512",+10,37,,"3,266",3,"798,573","1,022,495"
British Virgin Islands,"2,532",,37 ,,"2,343",,152,27,"83,142","1,215","75,667","2,484,633"
Turks and Caicos,"2,531",,18 ,,"2,459",,54,1,"64,409",458,"94,789","2,412,179"
Sao Tome and Principe,"2,478",+2,37 ,,"2,378",+4,63,,"11,080",165,"14,270","63,804"
St. Vincent Grenadines,"2,306",+5,12 ,,"2,244",+2,50,2,"20,713",108,"62,944","565,382"
Caribbean Netherlands,"1,729",,17 ,,"1,673",,39,,"65,263",642,"12,584","474,993"
Tanzania,"1,367",,50 ,,183,,"1,134",7,22,0.8,,
Antigua and Barbuda,"1,348",,43 ,,"1,246",,59,4,"13,640",435,"17,409","176,158"
St. Barth,"1,336",,2 ,,462,,872,,"134,813",202,"38,369","3,871,746"
Faeroe Islands,987,,2 ,,963,,22,,"20,115",41,"377,226","7,687,664"
199,712,,13 ,,699,,0,,,,,
Cayman Islands,648,,2 ,,643,,3,,"9,733",30,"120,435","1,809,012"
Saint Kitts and Nevis,625,+5,3 ,,569,+11,53,1,"11,657",56,"27,059","504,691"
Wallis and Futuna,445,,7 ,,438,,0,,"40,381",635,"20,508","1,860,980"
Brunei ,440,,3 ,,314,,123,,995,7,"160,064","362,043"
Dominica,412,, ,,209,,203,,"5,708",,"22,324","309,265"
Greenland,201,+14, ,,131,+3,70,2,"3,534",,"44,501","782,380"
Grenada,180,,1 ,,167,,12,,"1,592",9,"50,459","446,145"
New Caledonia,134,, ,,58,,76,,464,,"38,831","134,580"
Anguilla,113,, ,,111,,2,,"7,458",,"31,656","2,089,367"
Falkland Islands,66,, ,,63,,3,,"18,374",,"7,409","2,062,639"
Macao,63,, ,,57,,6,,96,,"4,705","7,138"
Saint Pierre Miquelon,30,, ,,28,,2,,"5,206",,"7,800","1,353,462"
Vatican City,27,, ,,27,,0,,"33,624",,,
Montserrat,22,,1 ,,20,,1,,"4,404",200,"1,408","281,882"
Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,379"
Western Sahara,10,,1 ,,8,,1,,16,2,,
216,9,,2 ,,7,,0,,,,,
Vanuatu,4,,1 ,,3,,0,,13,3,"23,000","73,002"
Marshall Islands,4,, ,,4,,0,,67,,,
Samoa,3,, ,,3,,0,,15,,,
Saint Helena,2,, ,,2,,0,,328,,,
Micronesia,1,, ,,1,,0,,9,,,
China,"94,080",+111,"4,636 ",,"87,655",+24,"1,789",60,65,3,"160,000,000","111,163"
